_id,title,author,publisher,price,comment_count
6527831a56d1630dc21efc72,Gülün Adı (Ciltsiz), Umberto Eco,CAN YAYINLARI," 161,70",1.321
6527831a56d1630dc21efc73,Başarıya Götüren Aile, Doğan Cüceloğlu,REMZİ KİTABEVİ," 66,60",533
6527831a56d1630dc21efc74,Çetin Ceviz ve Mucide, Sinan Yaşar,FOM KİTAP," 47,70",201
6527831a56d1630dc21efc75,Hayvanlardan Tanrılara Sapiens , Yuval Noah Harari,KOLEKTİF KİTAP," 155,10",2.305
6527831a56d1630dc21efc76,Yeşil Kafalar 1 / Ormanı Yemek Yasak, Tuğba Coşkuner,CEZVE ÇOCUK," 65,76",275
6527831a56d1630dc21efc77,En Uzun Esneme / Bilim Bunu Çözer, Jennifer Dussling,TÜBİTAK YAYINLARI," 4,86",39
6527831b56d1630dc21efc78,"Pal Sokağı Çocukları (Ciltli, İplik Dikişli)", Ferenc Molnar,KAPRA YAYINCILIK," 24,90",18
6527831b56d1630dc21efc79,Yakın Tarihin Gerçekleri,Prof. Dr. İlber Ortaylı,KRONİK KİTAP," 73,70",135
6527831b56d1630dc21efc7a,İçimizdeki Şeytan (Cep Boy) (Tam Metin), Sabahattin Ali,KARBON KİTAPLAR," 8,90",259
6527831b56d1630dc21efc7b,Dost Kazanma ve İnsanları Etkileme Sanatı, Dale Carnegie,EPSİLON YAYINEVİ," 106,97",219
6527831b56d1630dc21efc7c,Ayı Olmayan Ayı, Frank Tashlin,REDHOUSE KIDZ YAYINLARI," 38,28",129
6527831b56d1630dc21efc7d,Huşu Ağacı, Funda Uçuk Er,CEZVE KİTAP," 71,28",136
6527831b56d1630dc21efc7e,Öğrenci Kız, Osamu Dazai,İTHAKİ YAYINLARI," 30,00",48
6527831b56d1630dc21efc7f,Büyükbabamın Kocaman Denizi, Sylvia Bishop,TİMAŞ ÇOCUK YAYINLARI," 60,00",15
6527831c56d1630dc21efc80,Saç Örgüsü, Laetitia Colombani,YAN PASAJ," 71,28",62
6527831c56d1630dc21efc81,Suç ve Ceza (2 Cilt), Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK," 25,80",58
